book,lang,page,content,len,tokens_amount,summary,summary_len
hist.pdf,en,86,"Prior to this state formation, chiefs (rajas) and their assemblies, with the assistance of priests,  saw to the well-being of their clans. This clan-based method of governing persisted and evolved  into oligarchies. As the Aryans colonized new territory, clans or confederacies of clan would claim  it as their possession, and name it after the ruling family. The heads of clan families or chiefs  of each clan in a confederacy then jointly governed the territory by convening periodically in  assembly halls. A smaller group of leaders managed the deliberations and voting, and carried out  the tasks of day-to-day governing. These kinds of states have been called oligarchies because the  heads of the most powerful families governed. They have also been called republics because these  elites governed by assembly.  ",819,790,"In the early stages of state formation, chiefs and their assemblies, with the help of priests, were responsible for governing their clans. This system evolved into oligarchies, where clans or confederacies claimed new territories and named them after the ruling family. The heads of clan families or chiefs of each clan jointly governed the territory through periodic assemblies. A smaller group of leaders managed decision-making and day-to-day governance. These states were referred to as oligarchies because the powerful families held governance, but also as republics because the elites governed through assemblies.",619.0
hist.pdf,en,72,"Gupta Empire, and during the following seven centuries, the pattern of fragmentation intensified, as  numerous regional kingdoms large and small frequently turned over. Confronting such an unstable  and fluid political scene, medieval kings granted land to loyal subordinate rulers and high officers  of their courts. The resulting political and economic pattern is referred to as Indian feudalism. Also,  kings put their greatness on display by waging war and building magnificent Hindu temples in their  capital cities. And, during the medieval period, a new political and religious force entered the Indian  scene, when Muslim Arab and Turkic traders and conquerors arrived on the subcontinent.  ",699,753,"After the fall of the Gupta Empire, the political landscape in India became fragmented, with various regional kingdoms emerging. To maintain stability, medieval kings granted land to loyal rulers and court officials, creating a system known as Indian feudalism. These kings showcased their power through warfare and the construction of grand Hindu temples. Additionally, during the medieval period, Muslim Arab and Turkic traders and conquerors arrived in India, introducing a new political and religious dynamic.",513.0
hist.pdf,en,130,"His young son took the throne, but was placed under the regency of Wu’s capable brother, the Duke  of Zhou. Now, the Zhou royal court was faced with the task of governing newly conquered territory,  including the former lands of the Shang Dynasty. The king and his regent did so by implementing  three policies. First, they established a secondary capital farther east at Luoyang [low-yawng], closer  to the North China Plain. Second, they issued proclamations explaining to conquered peoples why  they should accept Zhou rule. According to the Duke of Zhou, Heaven had decreed that Shang  kings must fall and Zhou rulers should replace them. The Shang dynasty had begun with wise and  benevolent rulers, but later kings were cruel and incompetent, and failed to see to the well-being  of their subjects. Thus, a dynasty once sanctioned by Heaven had lost this sanction; now, Heaven  had called upon Zhou rulers to overthrow the Shang dynasty and initiate a new era of just rule. This  political theory, which is known as the Mandate of Heaven, would also be used by founders of  later dynasties to justify their actions, as well as by theorists to explain the rise and fall of dynasties. ",1189,882,"After the death of King Wu, his son became the new ruler but was placed under the regency of the capable Duke of Zhou. The Zhou royal court faced the task of governing the newly conquered territory, including the former lands of the Shang Dynasty. To do this, they implemented three policies. First, they established a secondary capital in Luoyang, closer to the North China Plain. Second, they issued proclamations explaining to the conquered peoples why they should accept Zhou rule. They justified their rule by claiming that Heaven had decreed the fall of the Shang dynasty due to their cruel and incompetent rulers, and that the Zhou rulers were chosen to bring about a new era of just rule. This political theory, known as the Mandate of Heaven, would be used by future dynasties to justify their actions and explain the rise and fall of dynasties.",854.0
hist.pdf,en,25,"During the Paleolithic Era,  and until recently in fact,  a child would be breastfed  until he or she was three or  four years old, a necessity  preventing  mothers  tasks that “don’t require  rapt concentration, are rel- atively dull and repetitive;  they are easily interrupt- ed, don’t place the child in  danger, and don’t require  the participant to stray far  from home.”22 Spinning,  weaving, and sewing were  some of these tasks. Also, the essential tasks of preparing food and clothing could be accomplished  with a nursing toddler nearby. These tasks that may be consigned as “women’s work” today are  among the most important tasks (and very time consuming ones before the industrial revolution)  that a human could perform. In fact, they were so time consuming that women would spend most  of their day on them, often being assisted by men.  ",854,814,"During the Paleolithic Era, breastfeeding children until the age of three or four was common practice. This allowed mothers to perform tasks that required less concentration, were repetitive, and could be easily interrupted without posing a danger to the child. Examples of such tasks included spinning, weaving, sewing, and food and clothing preparation. These tasks, which are often seen as ""women's work"" today, were considered essential and time-consuming before the industrial revolution. Women would spend most of their day on these tasks, sometimes with assistance from men.",581.0
math.pdf,en,15,"The third edition of An Introduction to Linear Algebra for Science and Engineering is meant to engage students and pique their curiosity, as well as provide a template for instructors. I am constantly fascinated by the countless potential applications of linear algebra in everyday life, and I intend for this textbook to be approachable to all. I will not pretend that mathematical prerequisites and previous knowledge are not required. However, the approach taken in this textbook encourages the reader to explore a variety of concepts and provides exposure to an extensive amount of mathematical knowledge. Linear algebra is an exciting discipline. My hope is that those reading this book will share in my enthusiasm. ",721,747,"The third edition of An Introduction to Linear Algebra for Science and Engineering aims to engage students and instructors by making the subject approachable and exciting. While mathematical prerequisites and previous knowledge are necessary, the textbook encourages exploration of various concepts and provides extensive mathematical knowledge. The author hopes that readers will share in their enthusiasm for linear algebra.",426.0
math.pdf,en,175,"Solution: Taking dot products of the rows of the rst matrix with columns of the second matrix gives our work above that we want the i j-th entry of AB to be the dot product of the i-th row of A and the j-th column of B. However, for this to be dened, �aT number of entries as �b j. Hence, the number of entries in the rows of the matrix A (that is, the number of columns of A) must be equal to the number of entries in the columns of B (that is, the number of rows of B). We can now make a precise denition. ",511,761,"The dot product of the rows of the first matrix with the columns of the second matrix determines the entries of the resulting matrix AB. In order for this computation to be valid, there must be an equal number of entries in the rows of A (columns of A) and columns of B (rows of B).",282.0
math.pdf,en,330,"Proof: If the i-th row of A contains only zeros, then expanding the determinant along the i-th row of A gives Theorem 5.1.3 If A ∈ Mn×n(R) is an upper or lower triangular matrix, then the determinant of A is the product of the diagonal entries of A. That is, and vice versa. That is, the columns of AT are identical to the rows of A. Thus, if we expand the determinant of AT along its rst column, we will get the same cofactors and coeﬃcients we would get by expanding the determinant of A along its rst row. We get the following theorem. ",541,763,"The given proof shows that if the i-th row of matrix A contains only zeros, then expanding the determinant along the i-th row gives Theorem 5.1.3, which states that the determinant of an upper or lower triangular matrix is the product of its diagonal entries. The proof also mentions that the columns of the transpose of A (AT) are identical to the rows of A. Thus, expanding the determinant of AT along its first column yields the same cofactors and coefficients as expanding the determinant of A along its first row. This leads to the conclusion of a new theorem.",565.0
math.pdf,en,30,"We nd that the values t = 1/2 and s = 2 satises all three equations. Hence, we have found that �p is in the plane. In particular, Since vectors are equal only if they have equal components, for these vectors to be equal we must have The middle equation shows us that we must have t = 1/2. However, then we would need s = 1/2 for the rst equation and s = 0 for the third equation. Therefore, there is no value of s and t that satises all three equations. Thus, �q is not a linear combination Find two vectors �u,�v ∈ R3 that are in the plane, and nd a vector �w ∈ R3 that is not in the plane. ",597,798,"The given equations are being solved to determine if vector q lies in the plane. The values t = 1/2 and s = 2 are found to satisfy all three equations, implying that vector p is in the plane. However, further analysis shows that for the equations to be satisfied, t = 1/2, s = 1/2, and s = 0 would be required, which is not possible. Therefore, there is no value of s and t that satisfies all three equations, indicating that vector q is not a linear combination. To find two vectors u and v that are in the plane, as well as a vector w that is not in the plane, additional information is required.",598.0
math.pdf,en,256,"A vector space over R is a set V together with an operation of addition, usually denoted x + y for any x, y ∈ V, and an operation of scalar multiplication, usually denoted sx for any x ∈ V and s ∈ R, such that for any x, y, z ∈ V and s, t ∈ R we have all of the following properties: V1 x + y ∈ V V2 x + y = y + x V3 (x + y) + z = x + (y + z) V4 There exists 0 ∈ V, called the zero vector, such that x + 0 = x for all x ∈ V V5 For each x ∈ V, there exists (−x) ∈ V such that x + (−x) = 0 V6 sx ∈ V V7 s(tx) = (st)x V8 (s + t)x = sx + tx V9 s(x + y) = sx + sy V10 1x = x diﬀerent objects than vectors in Rn. Thus, we will always denote, as in the denition above, a vector in a general vector space in boldface (for example, x). However, for vector spaces such as Rn or Mm×n(R) we will often use the notation we introduced earlier. ",831,901,"A vector space over R is a set V with addition and scalar multiplication operations satisfying several properties: closure under addition, commutativity of addition, associativity of addition, existence of a zero vector, existence of additive inverse, closure under scalar multiplication, associativity of scalar multiplication, distributivity of scalar and vector addition, and distributivity of scalar multiplication. It is important to note that vectors in a general vector space are denoted in boldface, while vectors in specific vector spaces like Rn or Mm×n(R) may be represented differently.",598.0
math.pdf,en,371,"The proof of Theorem 6.1.2 is beyond the scope of this course. If the geometric multiplicity of an eigenvalue is less than its algebraic multiplicity, then we say that the eigenvalue is decient. However, if A ∈ Mn×n(R) with distinct eigenvalues λ1, . . . , λk, which all have the property that their geometric multiplicity equals their algebraic multiplicity, then the sum of the geometric multiplicities of all eigenvalues equals the sum of the algebraic multiplicities, which equals n (since an n-th degree polynomial has exactly n roots). Hence, if we collect the basis vectors from the eigenspaces of all k eigenvalues, we will end up with n vectors in Rn. The next theorem states that eigenvectors from eigenspaces of diﬀerent eigenvalues are necessarily linearly independent, and hence this collection of n eigenvectors will form a basis for Rn. ",853,825,"The proof of Theorem 6.1.2 is not explained in this course. In the case where the geometric multiplicity of an eigenvalue is less than its algebraic multiplicity, the eigenvalue is considered deficient. However, if a matrix A has distinct eigenvalues with geometric multiplicities equal to algebraic multiplicities, the sum of geometric multiplicities equals the sum of algebraic multiplicities, which equals n (the degree of the polynomial representing A). This means that collecting the basis vectors from the eigenspaces of these eigenvalues will result in n linearly independent vectors in Rn. Therefore, these n eigenvectors form a basis for Rn.",650.0
math.pdf,en,206,"For Problems A1–A4, determine the matrix of the rotation in the plane through the given angle. A1 π 2 A2 π A3 − π For Problems A5–A9, in R2, let V be a vertical shear by amount 3 and S be a stretch by a factor 5 in the x2-direction. A5 Determine [V] and [S ]. A6 Calculate the composition of S followed by V. A7 Calculate the composition of S following V. A8 Calculate the composition of S followed by a For Problems A10–A14, in R2, let H be a horizontal shear by amount 1 and V be a vertical shear by amount −2. A10 Determine [H] and [V]. A11 Calculate the composition of H followed by V. A12 Calculate the composition of H following V. A13 Calculate the composition of H followed by a For Problems A15–A18, determine the matrix of the reection over the given line in R2. A15 x1 + 3x2 = 0 A16 2x1 − x2 = 0 let inj : R3 → R4 be the linear mapping dened by inj(x1, x2, x3) = (x1, x2, 0, x3). Determine the matrix of inj ◦D. ",925,910,"The text provided contains a series of problems related to matrix calculations involving rotations, shears, stretches, and reflections in R2. The specific instructions for each problem are not given, but it appears that the solutions require determining the matrices of the given transformations and performing compositions of these transformations. Additionally, there is a mention of a linear mapping, inj, from R3 to R4, but no further details are provided.",460.0
ml.pdf,en,89,"One-class classiﬁcation, also known as unary classiﬁcation or class modeling, tries to identify objects of a speciﬁc class among all objects, by learning from a training set containing only the objects of that class. That is diﬀerent from and more diﬃcult than the traditional classiﬁcation problem, which tries to distinguish between two or more classes with the training set containing objects from all classes. A typical one-class classiﬁcation problem is the classiﬁcation of the traﬃc in a secure network as normal. In this scenario, there are few, if any, examples of the traﬃc under an attack or during an intrusion. However, the examples of normal traﬃc are often in abundance. One-class classiﬁcation learning algorithms are used for outlier detection, anomaly detection, and novelty detection. ",804,814,"One-class classification is a type of classification that aims to identify objects of a specific class among all objects using a training set that contains only instances of that class. It differs from traditional classification where the training set contains objects from multiple classes. One-class classification is commonly used for outlier detection, anomaly detection, and novelty detection. For example, in a secure network, one-class classification can be used to classify traffic as normal even when there are few or no examples of traffic under attack or intrusion, but plenty of examples of normal traffic.",618.0
ml.pdf,en,89,"The idea behind the one-class gaussian is that we model our data as if it came from a Gaussian distribution, more precisely multivariate normal distribution (MND). The probability density function (pdf) for MND is given by the following equation: where fµ,Σ(x) returns the probability density corresponding to the input feature vector x. Probability density can be interpreted as the likelihood that example x was drawn from the probability distribution we model as an MND. Values µ (a vector) and Σ (a matrix) are the parameters we have to learn. The maximum likelihood criterion (similarly to how we solved the logistic regression learning problem) is optimized to ﬁnd the optimal values for these two parameters. |Σ| = det Σ is the determinant of the matrix Σ; the notation aT If the terms determinant, transpose, and inverse are new to you, don’t worry. These are standard operations on vector and matrices from the branch of mathematics called matrix theory. If you feel the need to know what they are, Wikipedia explains these concepts very well. ",1053,841,"The one-class Gaussian model assumes that data follows a multivariate normal distribution. The probability density function (pdf) of the multivariate normal distribution is used to calculate the likelihood of an example being drawn from the modeled distribution. The parameters µ (vector) and Σ (matrix) need to be learned using the maximum likelihood criterion. The determinant, transpose, and inverse are standard mathematical operations on matrices. For more information on these concepts, you can refer to Wikipedia.",520.0
ml.pdf,en,64,"To do that, we compute the mean squared error3 (MSE) for the training, and, separately, for the test data. If the MSE of the model on the test data is substantially higher than the MSE obtained on the training data, this is a sign of overﬁtting. Regularization or a better hyperparameter tuning could solve the problem. The meaning of “substantially higher” depends on the problem in hand and has to be decided by the data analyst jointly with the decision maker/product owner who ordered the model. ",500,732,"To evaluate overfitting in a model, the Mean Squared Error (MSE) is computed for both the training and test data. If the model's MSE on the test data is significantly higher than the MSE on the training data, it indicates overfitting. The extent of the difference considered ""substantially higher"" should be determined by the data analyst and the decision maker or product owner who requested the model. Taking steps such as regularization or better hyperparameter tuning can help address the issue.",499.0
ml.pdf,en,64,"The confusion matrix is a table that summarizes how successful the classiﬁcation model is at predicting examples belonging to various classes. One axis of the confusion matrix is the label that the model predicted, and the other axis is the actual label. In a binary classiﬁcation problem, there are two classes. Let’s say, the model predicts two classes: “spam” and “not_spam”: The above confusion matrix shows that of the 24 examples that actually were spam, the model correctly classiﬁed 23 as spam. In this case, we say that we have 23 true positives or TP = 23. The model incorrectly classiﬁed 1 example as not spam. In this case, we have 1 false negative, or FN = 1. Similarly, of 568 examples that actually were not spam, 556 were correctly classiﬁed (556 true negatives or TN = 556), and 12 were incorrectly classiﬁed (12 false positives, FP = 12). ",857,836,"The confusion matrix is a table that summarizes the performance of a classification model. It shows the predicted labels on one axis and the actual labels on the other axis. In a binary classification problem, there are two classes. The confusion matrix compares the model's predictions to the actual labels. For example, if the predicted classes are ""spam"" and ""not_spam"", the confusion matrix would show the number of true positives (correctly predicted as spam), false negatives (predicted as not spam but actually spam), true negatives (correctly predicted as not spam), and false positives (predicted as spam but actually not spam). In the given example, there were 23 true positives, 1 false negative, 556 true negatives, and 12 false positives.",751.0
ml.pdf,en,126,"For non-deterministic clustering algorithms, such as k-means, which can generate diﬀerent clusterings depending on the initial positions of centroids, it is recommended to do multiple runs of the clustering algorithm for the same k and compute the average prediction strength ¯ps(k) over multiple runs. Another eﬀective method to estimate the number of clusters is the gap statistic method. Other, less automatic methods, which some analysts still use, include the elbow method and the average silhouette method. ",513,726,"Non-deterministic clustering algorithms like k-means can produce different clusterings based on the initial positions of centroids. To address this, it is recommended to run multiple iterations of the algorithm for the same k and calculate the average prediction strength ¯ps(k). The gap statistic method is another effective approach to estimate the number of clusters. Less automated methods, such as the elbow method and the average silhouette method, are also used by some analysts.",486.0
ml.pdf,en,58,"How much time is a learning algorithm allowed to use to build a model? Neural networks are known to be slow to train. Simple algorithms like logistic and linear regression as well as decision tree learning are much faster. Some specialized libraries contain very eﬃcient implementations of some algorithms; you may prefer to do research online to ﬁnd such libraries. Some algorithms, such as random forests, beneﬁt from the availability of multiple CPU cores, so their model building time can be signiﬁcantly reduced on a machine with dozens of CPU cores. ",556,736,"The amount of time a learning algorithm is allowed to use to build a model can vary depending on the specific requirements and constraints of the task at hand. Neural networks are generally known to be slower to train compared to simpler algorithms like logistic regression, linear regression, and decision tree learning. However, there are specialized libraries that offer efficient implementations of various algorithms, which can help reduce training time. Additionally, certain algorithms like random forests can benefit from the availability of multiple CPU cores, significantly reducing the time required for model building on machines with multiple cores. It is advisable to research online for such libraries and consider utilizing them for faster training.",765.0
ml.pdf,en,16,"A set is an unordered collection of unique elements. We denote a set as a calligraphic capital character, for example, S. A set of numbers can be ﬁnite (include a ﬁxed amount of values). In this case, it is denoted using accolades, for example, {1, 3, 18, 23, 235} or {x1, x2, x3, x4, . . . , xn}. A set can be inﬁnite and include all values in some interval. If a set includes all values between a and b, including a and b, it is denoted using brackets as [a, b]. If the set doesn’t include the values a and b, such a set is denoted using parentheses like this: (a, b). For example, the set [0, 1] includes such values as 0, 0.0001, 0.25, 0.784, 0.9995, and 1.0. A special set denoted R includes all numbers from minus inﬁnity to plus inﬁnity. ",745,860,"A set is an unordered collection of unique elements. It can be finite, denoted using accolades and include a fixed number of values, or infinite and represent all values within a specified interval. A set that includes the boundaries of the interval uses brackets, while a set that excludes the boundaries uses parentheses. The set R represents all numbers from negative infinity to positive infinity.",401.0
phil.pdf,en,341,"Yet as concerned as Kant is to establish an irrefutable theory of knowledge that will  serve as a legitimate grounding for modern science, he is just as intent on making  sure this epistemological framework also incorporates other a priori knowledge. Kant  considers such knowledge to be “metaphysical” in the sense that its ultimate justifica- tion and truth are based on reason, independent of sense experience, and it includes  areas of experience such as • Mathematics, arithmetic, logic • Knowledge of the “self” • The possibility of free will • Moral principles • The existence of God Kant rightly realized that Hume’s comprehensive discrediting of the validity and  power of reason would prohibit discovering authentic knowledge in these metaphysi- cal areas. ",767,773,"Kant aims to establish a theory of knowledge that not only provides a legitimate foundation for modern science but also incorporates other types of a priori knowledge. He refers to this knowledge as ""metaphysical,"" as it involves justification and truth derived from reason, independent of sense experience. This includes areas such as mathematics, the self, free will, moral principles, and the existence of God. Kant recognizes that Hume's skepticism regarding reason undermines the possibility of attaining genuine knowledge in these metaphysical domains.",558.0
phil.pdf,en,341,"My object is to persuade all those who think Metaphysics worth studying, that it is  absolutely necessary to pause a moment, and, neglecting all that has been done, to  propose first the preliminary question, “Whether such a thing as metaphysics be at all  possible? . . .” I therefore first tried whether Hume’s objection could not be put into a general form,  and soon found that the concept of the connection of cause and effect was by no means  the only idea by which the understanding thinks the connection of things a priori, but  rather that metaphysics consists altogether of such connections. ",602,749,"The author's objective is to persuade those interested in studying Metaphysics to question its possibility as a field of study. They propose the preliminary question of whether Metaphysics is even possible. The author explores Hume's objection and discovers that the concept of cause and effect is not the only idea through which connections between things are understood, but rather that metaphysics is composed entirely of such connections.",442.0
