book,lang,page,content,len,tokens_amount
math.pdf,en,30,"We nd that the values t = 1/2 and s = 2 satises all three equations. Hence, we have found that �p is in the plane. In particular, Since vectors are equal only if they have equal components, for these vectors to be equal we must have The middle equation shows us that we must have t = 1/2. However, then we would need s = 1/2 for the rst equation and s = 0 for the third equation. Therefore, there is no value of s and t that satises all three equations. Thus, �q is not a linear combination Find two vectors �u,�v ∈ R3 that are in the plane, and nd a vector �w ∈ R3 that is not in the plane. ",597,798
math.pdf,en,256,"A vector space over R is a set V together with an operation of addition, usually denoted x + y for any x, y ∈ V, and an operation of scalar multiplication, usually denoted sx for any x ∈ V and s ∈ R, such that for any x, y, z ∈ V and s, t ∈ R we have all of the following properties: V1 x + y ∈ V V2 x + y = y + x V3 (x + y) + z = x + (y + z) V4 There exists 0 ∈ V, called the zero vector, such that x + 0 = x for all x ∈ V V5 For each x ∈ V, there exists (−x) ∈ V such that x + (−x) = 0 V6 sx ∈ V V7 s(tx) = (st)x V8 (s + t)x = sx + tx V9 s(x + y) = sx + sy V10 1x = x diﬀerent objects than vectors in Rn. Thus, we will always denote, as in the denition above, a vector in a general vector space in boldface (for example, x). However, for vector spaces such as Rn or Mm×n(R) we will often use the notation we introduced earlier. ",831,901
math.pdf,en,371,"The proof of Theorem 6.1.2 is beyond the scope of this course. If the geometric multiplicity of an eigenvalue is less than its algebraic multiplicity, then we say that the eigenvalue is decient. However, if A ∈ Mn×n(R) with distinct eigenvalues λ1, . . . , λk, which all have the property that their geometric multiplicity equals their algebraic multiplicity, then the sum of the geometric multiplicities of all eigenvalues equals the sum of the algebraic multiplicities, which equals n (since an n-th degree polynomial has exactly n roots). Hence, if we collect the basis vectors from the eigenspaces of all k eigenvalues, we will end up with n vectors in Rn. The next theorem states that eigenvectors from eigenspaces of diﬀerent eigenvalues are necessarily linearly independent, and hence this collection of n eigenvectors will form a basis for Rn. ",853,825
math.pdf,en,206,"For Problems A1–A4, determine the matrix of the rotation in the plane through the given angle. A1 π 2 A2 π A3 − π For Problems A5–A9, in R2, let V be a vertical shear by amount 3 and S be a stretch by a factor 5 in the x2-direction. A5 Determine [V] and [S ]. A6 Calculate the composition of S followed by V. A7 Calculate the composition of S following V. A8 Calculate the composition of S followed by a For Problems A10–A14, in R2, let H be a horizontal shear by amount 1 and V be a vertical shear by amount −2. A10 Determine [H] and [V]. A11 Calculate the composition of H followed by V. A12 Calculate the composition of H following V. A13 Calculate the composition of H followed by a For Problems A15–A18, determine the matrix of the reection over the given line in R2. A15 x1 + 3x2 = 0 A16 2x1 − x2 = 0 let inj : R3 → R4 be the linear mapping dened by inj(x1, x2, x3) = (x1, x2, 0, x3). Determine the matrix of inj ◦D. ",925,910
ml.pdf,en,89,"One-class classiﬁcation, also known as unary classiﬁcation or class modeling, tries to identify objects of a speciﬁc class among all objects, by learning from a training set containing only the objects of that class. That is diﬀerent from and more diﬃcult than the traditional classiﬁcation problem, which tries to distinguish between two or more classes with the training set containing objects from all classes. A typical one-class classiﬁcation problem is the classiﬁcation of the traﬃc in a secure network as normal. In this scenario, there are few, if any, examples of the traﬃc under an attack or during an intrusion. However, the examples of normal traﬃc are often in abundance. One-class classiﬁcation learning algorithms are used for outlier detection, anomaly detection, and novelty detection. ",804,814
ml.pdf,en,89,"The idea behind the one-class gaussian is that we model our data as if it came from a Gaussian distribution, more precisely multivariate normal distribution (MND). The probability density function (pdf) for MND is given by the following equation: where fµ,Σ(x) returns the probability density corresponding to the input feature vector x. Probability density can be interpreted as the likelihood that example x was drawn from the probability distribution we model as an MND. Values µ (a vector) and Σ (a matrix) are the parameters we have to learn. The maximum likelihood criterion (similarly to how we solved the logistic regression learning problem) is optimized to ﬁnd the optimal values for these two parameters. |Σ| = det Σ is the determinant of the matrix Σ; the notation aT If the terms determinant, transpose, and inverse are new to you, don’t worry. These are standard operations on vector and matrices from the branch of mathematics called matrix theory. If you feel the need to know what they are, Wikipedia explains these concepts very well. ",1053,841
ml.pdf,en,64,"To do that, we compute the mean squared error3 (MSE) for the training, and, separately, for the test data. If the MSE of the model on the test data is substantially higher than the MSE obtained on the training data, this is a sign of overﬁtting. Regularization or a better hyperparameter tuning could solve the problem. The meaning of “substantially higher” depends on the problem in hand and has to be decided by the data analyst jointly with the decision maker/product owner who ordered the model. ",500,732
ml.pdf,en,64,"The confusion matrix is a table that summarizes how successful the classiﬁcation model is at predicting examples belonging to various classes. One axis of the confusion matrix is the label that the model predicted, and the other axis is the actual label. In a binary classiﬁcation problem, there are two classes. Let’s say, the model predicts two classes: “spam” and “not_spam”: The above confusion matrix shows that of the 24 examples that actually were spam, the model correctly classiﬁed 23 as spam. In this case, we say that we have 23 true positives or TP = 23. The model incorrectly classiﬁed 1 example as not spam. In this case, we have 1 false negative, or FN = 1. Similarly, of 568 examples that actually were not spam, 556 were correctly classiﬁed (556 true negatives or TN = 556), and 12 were incorrectly classiﬁed (12 false positives, FP = 12). ",857,836
ml.pdf,en,126,"For non-deterministic clustering algorithms, such as k-means, which can generate diﬀerent clusterings depending on the initial positions of centroids, it is recommended to do multiple runs of the clustering algorithm for the same k and compute the average prediction strength ¯ps(k) over multiple runs. Another eﬀective method to estimate the number of clusters is the gap statistic method. Other, less automatic methods, which some analysts still use, include the elbow method and the average silhouette method. ",513,726
ml.pdf,en,58,"How much time is a learning algorithm allowed to use to build a model? Neural networks are known to be slow to train. Simple algorithms like logistic and linear regression as well as decision tree learning are much faster. Some specialized libraries contain very eﬃcient implementations of some algorithms; you may prefer to do research online to ﬁnd such libraries. Some algorithms, such as random forests, beneﬁt from the availability of multiple CPU cores, so their model building time can be signiﬁcantly reduced on a machine with dozens of CPU cores. ",556,736
ml.pdf,en,16,"A set is an unordered collection of unique elements. We denote a set as a calligraphic capital character, for example, S. A set of numbers can be ﬁnite (include a ﬁxed amount of values). In this case, it is denoted using accolades, for example, {1, 3, 18, 23, 235} or {x1, x2, x3, x4, . . . , xn}. A set can be inﬁnite and include all values in some interval. If a set includes all values between a and b, including a and b, it is denoted using brackets as [a, b]. If the set doesn’t include the values a and b, such a set is denoted using parentheses like this: (a, b). For example, the set [0, 1] includes such values as 0, 0.0001, 0.25, 0.784, 0.9995, and 1.0. A special set denoted R includes all numbers from minus inﬁnity to plus inﬁnity. ",745,860
phil.pdf,en,341,"Yet as concerned as Kant is to establish an irrefutable theory of knowledge that will  serve as a legitimate grounding for modern science, he is just as intent on making  sure this epistemological framework also incorporates other a priori knowledge. Kant  considers such knowledge to be “metaphysical” in the sense that its ultimate justifica- tion and truth are based on reason, independent of sense experience, and it includes  areas of experience such as • Mathematics, arithmetic, logic • Knowledge of the “self” • The possibility of free will • Moral principles • The existence of God Kant rightly realized that Hume’s comprehensive discrediting of the validity and  power of reason would prohibit discovering authentic knowledge in these metaphysi- cal areas. ",767,773
phil.pdf,en,341,"My object is to persuade all those who think Metaphysics worth studying, that it is  absolutely necessary to pause a moment, and, neglecting all that has been done, to  propose first the preliminary question, “Whether such a thing as metaphysics be at all  possible? . . .” I therefore first tried whether Hume’s objection could not be put into a general form,  and soon found that the concept of the connection of cause and effect was by no means  the only idea by which the understanding thinks the connection of things a priori, but  rather that metaphysics consists altogether of such connections. ",602,749
phil.pdf,en,341,"For Kant, refuting Hume is not a trivial academic enterprise: It is an intellectual  life-and-death struggle to make possible his most deeply held convictions about the  universe and humanity’s place in it. This is an intensely personal struggle for Kant,  and underlying the extraordinary intellectual edifice that he ends up erecting is a  profoundly human passion, revealed in his comment, “If man has the need of any  science, then it is the one that can teach him what it means to be human.” Fortunately for Kant, he is not lacking in confidence. Kant viewed Hume’s critique  as a serious challenge, but more importantly he used it as an intellectual catalyst for  his own thinking, a project that he believed to be supremely successful. ",743,776
phil.pdf,en,466,"The vast majority of the individuals in any group are shaped to the fashion of that culture. In  other words, most individuals are plastic to the molding force of the society into which they are  born. In a society that values trance, as in India, they will have supernormal experience. In a  society that institutionalizes homosexuality, they will be homosexual. In a society that sets the  gathering of possessions as the chief human objective, they will amass property. The deviants,  whatever the type of behavior the culture has institutionalized, will remain few in number, and  there seems no more difficulty in molding that vast malleable majority to the “normality” of what  we consider an aberrant trait, such as delusions of reference, than to the normality of such  accepted behavior patterns as acquisitiveness. The small proportion of the number of  the deviants in any culture is not a function of the sure instinct with which that society  has built itself upon the fundamental sanities, but of the universal fact that, happily,  the majority of mankind quite readily take any shape that is presented to them. . . . ",1132,858
phil.pdf,en,151,"In a similar fashion, empiricists like Hume had assumed that the mind was a pas- sive receptacle of sensations, a “theatre” in which the raw data of experience moved  across without our influence. According to Hume, our minds conform to the world of  which we are merely passive observers. Kant, playing the role of Copernicus, asserted  that this is a wrongheaded perspective. The sensations of experience are necessary  for knowledge, but they are in reality the “grist” for our mental “mills.” Our minds  actively synthesize and relate these sensations in the process of creating an intelligible  world. As a result, the sensations of immediate experience conform to our minds,  rather than the reverse. We construct our world through these conceptual operations;  and, as a result, this is a world of which we can gain insight and knowledge. ",846,805
phil.pdf,en,151,"This is a brief overview of Kant’s epistemological framework, which we will examine  in more depth in Chapter 6. For now we are interested in how this framework influ- ences Kant’s conception of the self. Actually, from Kant’s standpoint, it’s our self that  makes experiencing an intelligible world possible because it’s the self that is responsible  for synthesizing the discreet data of sense experience into a meaningful whole. Meta- phorically, our self is the weaver who, using the loom of the mind, weaves together the  fabric of experience into a unified whole so that it becomes my experience, my world, my  universe. Without our self to perform this synthesizing function, our experience would  be unknowable, a chaotic collection of sensations without coherence or significance. ",790,787
phil.pdf,en,151,"The unity of consciousness is a phrase  invented by Kant to describe the fact that  the thoughts and perceptions of any given  mind are bound together in a unity by  being all contained in one consciousness— my consciousness. That’s precisely what  makes your world intelligible to you: It’s  your self that is actively organizing all of  your sensations and thoughts into a picture  that makes sense to you. This picture is  uniquely your picture. You are at the center  of your world, and you view everything in  the world from your perspective. For exam- ple, think about a time in which you shared  an experience with someone but you each  SENSE, PERCEPTION, AND YOUR SELF • Reflect on your mind and identify the contents that you are  experiencing as Hume would describe them: isolated and  fleeting sounds, images, tastes, smells, and so on. Did this  require a special effort on your part? Why or why not? • Now reflect on the contents of your mind and identify the  contents that you are experiencing as Kant would describe  them: an integrated world of objects, relationships, space,  and time. How did this mental “experiment” compare with  the previous one? • Describe a time in your life in which your experience was  very much as Hume describes it and then how it changed  into an experience that was more Kantian. ",1328,907
phys.pdf,en,591,"We say that a rigid body is in equilibrium when both its linear and angular acceleration are zero relative to an inertial frame of reference. This means that a body in equilibrium can be moving, but if so, its linear and angular velocities must be constant. We say that a rigid body is in static equilibrium when it is at rest in our selected frame of reference. Notice that the distinction between the state of rest and a state of uniform motion is artificial—that is, an object may be at rest in our selected frame of reference, yet to an observer moving at constant velocity relative to our frame, the same object appears to be in uniform motion with constant velocity. Because the motion is relative, what is in static equilibrium to us is in dynamic equilibrium to the moving observer, and vice versa. Since the laws of physics are identical for all inertial reference frames, in an inertial frame of reference, there is no distinction between static equilibrium and equilibrium. ",985,812
phys.pdf,en,591,"According to Newton’s second law of motion, the linear acceleration of a rigid body is caused by a net force acting on it, or Here, the sum is of all external forces acting on the body, where m is its mass and a→ CM is the linear acceleration of its center of mass (a concept we discussed in Linear Momentum and Collisions on linear momentum and collisions). In equilibrium, the linear acceleration is zero. If we set the acceleration to zero in Equation 12.1, we obtain the following equation: The first equilibrium condition for the static equilibrium of a rigid body expresses translational equilibrium: The first equilibrium condition, Equation 12.2, is the equilibrium condition for forces, which we encountered when studying applications of Newton’s laws. ",762,773
phys.pdf,en,247,"(axes shown to the left of the skier). N → is perpendicular to the slope and f→ is parallel to the slope, but w → has components along both axes, namely, wy and wx . Here, w → has a squiggly line to show that it has been replaced by these components. The force N → is equal in magnitude to wy , so there is no acceleration perpendicular to the slope, but f is less than wx , so there is a downslope acceleration (along the axis parallel to the This is a two-dimensional problem, since not all forces on the skier (the system of interest) are parallel. The approach we have used in two-dimensional kinematics also works well here. Choose a convenient coordinate system and project the vectors onto its axes, creating two one-dimensional problems to solve. The most convenient coordinate system for motion on an incline is one that has one coordinate parallel to the slope and one perpendicular to the slope. (Motions along mutually perpendicular axes are independent.) We use x and y for the parallel and perpendicular directions, respectively. This choice of axes simplifies this type of problem, because there is no motion perpendicular to the slope and the acceleration is downslope. Regarding the forces, friction is drawn in opposition to motion (friction always opposes forward motion) and is always parallel to the slope, wx is drawn parallel to the slope and downslope (it causes the motion of the skier down the slope), and wy is drawn as the component of weight perpendicular to the slope. Then, we can consider the separate problems of forces parallel to the slope and forces perpendicular to the slope. ",1614,951
phys.pdf,en,599,"The string breaks when the tension reaches the critical value of T1 = 2.80 N. The preceding equation can be Suppose that the mechanical system considered in this example is attached to a ceiling inside an elevator going up. As long as the elevator moves up at a constant speed, the result stays the same because the weight w does not change. If the elevator moves up with acceleration, the critical mass is smaller because the weight of M + m becomes larger by an apparent weight due to the acceleration of the elevator. Still, in all cases the shorter string breaks first. ",574,737
phys.pdf,en,599,"• Identify and analyze static equilibrium situations • Set up a free-body diagram for an extended object in static equilibrium • Set up and solve static equilibrium conditions for objects in equilibrium in various physical situations All examples in this chapter are planar problems. Accordingly, we use equilibrium conditions in the component form of Equation 12.7 to Equation 12.9. We introduced a problem-solving strategy in Example 12.1 to illustrate the physical meaning of the equilibrium conditions. Now we generalize this strategy in a list of steps to follow when solving static equilibrium problems for extended rigid bodies. We proceed in five practical steps. ",672,743
phys.pdf,en,599,"2. Set up a free-body diagram for the object. (a) Choose the xy-reference frame for the problem. Draw a free- body diagram for the object, including only the forces that act on it. When suitable, represent the forces in terms of their components in the chosen reference frame. As you do this for each force, cross out the original force so that you do not erroneously include the same force twice in equations. Label all forces—you will need this for correct computations of net forces in the x- and y-directions. For an unknown force, the direction must be assigned arbitrarily; think of it as a ‘working direction’ or ‘suspected direction.’ The correct direction is determined by the sign that you obtain in the final solution. A plus sign ( + ) means that the working direction is the actual direction. A minus sign ( − ) means that the actual direction is opposite to the assumed working direction. (b) Choose the location of the rotation axis; in other words, choose the pivot point with respect to which you will compute torques of acting forces. On the free-body diagram, indicate the location of the pivot and the lever arms of acting forces—you will need this for correct computations of torques. In the selection of the pivot, keep in mind that the pivot can be placed anywhere you wish, but the guiding principle is that the best choice will simplify as much as possible the calculation of the net torque along the rotation axis. ",1441,918
phys.pdf,en,867,"The speed of sound can change when sound travels from one medium to another, but the frequency usually remains the same. This is similar to the frequency of a wave on a string being equal to the frequency of the force oscillating the string. If v changes and f remains the same, then the wavelength λ must change. That is, because v = f λ , the higher the speed of Check Your Understanding Imagine you observe two firework shells explode. You hear the explosion of one as soon as you see it. However, you see the other shell for several milliseconds before you hear the explosion. Explain why this is so. ",605,747
potter.pdf,en,104,"Snape was still ignoring Hermione’s quivering hand.  ‘What is the difference, Potter, between monkshood and wolfs- bane?’  At this, Hermione stood up, her hand stretching towards the  dungeon ceiling.  ‘I don’t know,’ said Harry quietly. ‘I think Hermione does,  though, why don’t you try her?’  A few people laughed; Harry caught Seamus’s eye and Seamus  winked. Snape, however, was not pleased.  ‘Sit down,’ he snapped at Hermione. ‘For your information,  Potter, asphodel and wormwood make a sleeping potion so pow- erful it is known as the Draught of Living Death. A bezoar is a  stone taken from the stomach of a goat and it will save you from  most poisons. As for monkshood and wolfsbane, they are the   same plant, which also goes by the name of aconite. Well? Why  aren’t you all copying that down?’  There was a sudden rummaging for quills and parchment. Over  the noise, Snape said, ‘And a point will be taken from Gryffindor  house for your cheek, Potter.’  Things didn’t improve for the Gryffindors as the Potions lesson  continued. Snape put them all into pairs and set them to mixing  up a simple potion to cure boils. He swept around in his long  black cloak, watching them weigh dried nettles and crush snake  fangs, criticising almost everyone except Malfoy, whom he seemed  to like. He was just telling everyone to look at the perfect way  Malfoy had stewed his horned slugs when clouds of acid green  smoke and a loud hissing filled the dungeon. Neville had some- how managed to melt Seamus’s cauldron into a twisted blob and  their potion was seeping across the stone floor, burning holes in  people’s shoes. Within seconds, the whole class were standing on  their stools while Neville, who had been drenched in the potion  when the cauldron collapsed, moaned in pain as angry red boils  sprang up all over his arms and legs.  ‘Idiot boy!’ snarled Snape, clearing the spilled potion away with  one wave of his wand. ‘I suppose you added the porcupine quills  before taking the cauldron off the fire?’  Neville whimpered as boils started to pop up all over his nose.  ‘Take him up to the hospital wing,’ Snape spat at Seamus. Then  he rounded on Harry and Ron, who had been working next to  Neville.  ",2221,1174
potter.pdf,en,140,"Lee Jordan was finding it difficult not to take sides.  ‘So – after that obvious and disgusting bit of cheating –’  ‘Jordan!’ growled Professor McGonagall.  ‘I mean, after that open and revolting foul –’  ‘Jordan, I’m warning you –’  ‘All right, all right. Flint nearly kills the Gryffindor Seeker,  which could happen to anyone, I’m sure, so a penalty to  Gryffindor, taken by Spinnet, who puts it away, no trouble, and   we continue play, Gryffindor still in possession.’  It was as Harry dodged another Bludger which went spinning  dangerously past his head that it happened. His broom gave a  sudden, frightening lurch. For a split second, he thought he was  going to fall. He gripped the broom tightly with both his hands  and knees. He’d never felt anything like that.  It happened again. It was as though the broom was trying to  buck him off. But Nimbus Two Thousands did not suddenly  decide to buck their riders off. Harry tried to turn back towards  the Gryffindor goalposts; he had half a mind to ask Wood to call  time out – and then he realised that his broom was completely out  of his control. He couldn’t turn it. He couldn’t direct it at all. It  was zig-zagging through the air and every now and then making  violent swishing movements which almost unseated him.  Lee was still commentating.  ‘Slytherin in possession – Flint with the Quaffle – passes Spinnet  – passes Bell – hit hard in the face by a Bludger, hope it broke his  nose – only joking, Professor – Slytherin score – oh no …’  The Slytherins were cheering. No one seemed to have noticed  that Harry’s broom was behaving strangely. It was carrying him  slowly higher, away from the game, jerking and twitching as it  went.  ‘Dunno what Harry thinks he’s doing,’ Hagrid mumbled. He  stared through his binoculars. ‘If I didn’ know better, I’d say he’d  lost control of his broom … but he can’t have …’  Suddenly, people were pointing up at Harry all over the stands.  His broom had started to roll over and over, with him only just  managing to hold on. Then the whole crowd gasped. Harry’s  broom had given a wild jerk and Harry swung off it. He was now  dangling from it, holding on with only one hand.  ‘Did something happen to it when Flint blocked him?’ Seamus  whispered.  ",2260,1199
